,Rater1 Comp,Rater2 Comp,Resolved Score,System Overall,Rater1 1,Rater1 2,Rater1 3,Rater1 4,Rater1 5,Rater1 6,Rater2 1,Rater2 2,Rater2 3,Rater2 4,Rater2 5,Rater2 6,System Ideas and Content,System Organization,System Voice,System Word Choice,System Sentence Fluency,System Conventions
Rater1 Comp,,2.032,18.636,17.85,14.572,14.608,14.378,14.47,14.6,14.742,14.5,14.558,14.296,14.412,14.534,14.72,13.808,14.456,14.084,14.774,15.054,15.518
Rater2 Comp,2.032,,18.404,17.618,14.804,14.84,14.61,14.702,14.832,14.974,14.732,14.79,14.528,14.644,14.766,14.952,14.04,14.688,14.316,15.006,15.286,15.75
Resolved Score,18.636,18.404,,4.37,33.208,33.244,33.014,33.106,33.236,33.378,33.136,33.194,32.932,33.048,33.17,33.356,32.444,33.092,32.72,33.41,33.69,34.154
System Overall,17.85,17.618,4.37,,32.422,32.458,32.228,32.32,32.45,32.592,32.35,32.408,32.146,32.262,32.384,32.57,31.658,32.306,31.934,32.624,32.904,33.368
Rater1 1,14.572,14.804,33.208,32.422,,0.184,0.246,0.234,0.276,0.33,0.448,0.446,0.504,0.408,0.45,0.496,0.9,0.592,0.692,0.542,0.698,1.014
Rater1 2,14.608,14.84,33.244,32.458,0.184,,0.282,0.246,0.236,0.302,0.448,0.426,0.504,0.408,0.446,0.484,0.92,0.6,0.7,0.542,0.654,0.97
Rater1 3,14.378,14.61,33.014,32.228,0.246,0.282,,0.196,0.318,0.432,0.462,0.472,0.442,0.386,0.468,0.562,0.75,0.534,0.558,0.568,0.76,1.168
Rater1 4,14.47,14.702,33.106,32.32,0.234,0.246,0.196,,0.21,0.352,0.438,0.436,0.454,0.366,0.416,0.494,0.81,0.542,0.602,0.532,0.692,1.08
Rater1 5,14.6,14.832,33.236,32.45,0.276,0.236,0.318,0.21,,0.23,0.46,0.454,0.532,0.432,0.434,0.464,0.912,0.568,0.696,0.534,0.642,0.97
Rater1 6,14.742,14.974,33.378,32.592,0.33,0.302,0.432,0.352,0.23,,0.486,0.492,0.598,0.51,0.492,0.43,1.014,0.614,0.786,0.508,0.568,0.828
Rater2 1,14.5,14.732,33.136,32.35,0.448,0.448,0.462,0.438,0.46,0.486,,0.182,0.248,0.276,0.282,0.348,0.852,0.6,0.676,0.574,0.722,1.046
Rater2 2,14.558,14.79,33.194,32.408,0.446,0.426,0.472,0.436,0.454,0.492,0.182,,0.302,0.266,0.244,0.322,0.874,0.57,0.686,0.576,0.716,1.02
Rater2 3,14.296,14.528,32.932,32.146,0.504,0.504,0.442,0.454,0.532,0.598,0.248,0.302,,0.228,0.338,0.492,0.708,0.572,0.572,0.63,0.858,1.246
Rater2 4,14.412,14.644,33.048,32.262,0.408,0.408,0.386,0.366,0.432,0.51,0.276,0.266,0.228,,0.21,0.364,0.756,0.528,0.572,0.526,0.758,1.134
Rater2 5,14.534,14.766,33.17,32.384,0.45,0.446,0.468,0.416,0.434,0.492,0.282,0.244,0.338,0.21,,0.254,0.842,0.554,0.658,0.548,0.72,1.028
Rater2 6,14.72,14.952,33.356,32.57,0.496,0.484,0.562,0.494,0.464,0.43,0.348,0.322,0.492,0.364,0.254,,0.992,0.636,0.816,0.55,0.642,0.85
System Ideas and Content,13.808,14.04,32.444,31.658,0.9,0.92,0.75,0.81,0.912,1.014,0.852,0.874,0.708,0.756,0.842,0.992,,0.652,0.384,0.966,1.25,1.714
System Organization,14.456,14.688,33.092,32.306,0.592,0.6,0.534,0.542,0.568,0.614,0.6,0.57,0.572,0.528,0.554,0.636,0.652,,0.484,0.414,0.662,1.082
System Voice,14.084,14.316,32.72,31.934,0.692,0.7,0.558,0.602,0.696,0.786,0.676,0.686,0.572,0.572,0.658,0.816,0.384,0.484,,0.702,0.986,1.438
System Word Choice,14.774,15.006,33.41,32.624,0.542,0.542,0.568,0.532,0.534,0.508,0.574,0.576,0.63,0.526,0.548,0.55,0.966,0.414,0.702,,0.372,0.76
System Sentence Fluency,15.054,15.286,33.69,32.904,0.698,0.654,0.76,0.692,0.642,0.568,0.722,0.716,0.858,0.758,0.72,0.642,1.25,0.662,0.986,0.372,,0.52
System Conventions,15.518,15.75,34.154,33.368,1.014,0.97,1.168,1.08,0.97,0.828,1.046,1.02,1.246,1.134,1.028,0.85,1.714,1.082,1.438,0.76,0.52,
